OaSurgeryCostCode,CostCodeandName,_2023_08_01,_2023_09_01,_2023_10_01,_2023_11_01,_2023_12_01,_2024_01_01,_2024_02_01,_2024_03_01,_2024_04_01,_2024_05_01,_2024_06_01,_2024_07_01,_2024_08_01,_2024_09_01,_2024_10_01,_2024_11_01,_2024_12_01,_2025_01_01,_2025_02_01,_2025_03_01,_2025_04_01,_2025_05_01,_2025_06_01,_2025_07_01
8035,8035 Djurkliniken Staffanstorp,0.8666666666666667,0.4736842105263158,0.8235294117647058,0.8125,0.8947368421052632,0.875,1.0,0.8,0.875,0.7222222222222223,0.8888888888888888,0.7000000000000001,0.9,0.7,0.7857142857142857,0.8571428571428571,0.8125,0.9230769230769231,0.7894736842105263,0.8333333333333334,0.8846153846153846,0.7222222222222222,0.9375,0.75
8036,8036 Djursjukhuset Malmö,0.7533333333333333,0.6972972972972973,0.7564766839378237,0.745945945945946,0.6993006993006993,0.7258064516129032,0.7944444444444444,0.7087912087912087,0.6772151898734178,0.7662337662337663,0.7441860465116279,0.7230769230769231,0.7642276422764227,0.7480314960629921,0.6790123456790124,0.6752136752136751,0.7350427350427351,0.8596491228070176,0.7314814814814815,0.7253521126760564,0.625,0.592,0.5625,0.6590909090909091
8038,8038 Hästkliniken Boden,1.0,0.6000000000000001,1.0,1.0,1.0,1.0,0.19999999999999996,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,1.0,,0.3333333333333333,0.0,0.6666666666666666,1.0,0.6,
8042,8042 Hästkliniken Mantorp,0.5,1.0,0.0,0.3333333333333333,1.0,0.75,0.75,-0.3333333333333333,1.0,0.6666666666666666,1.0,0.75,0.4285714285714286,0.5,0.5333333333333333,0.5,0.5,0.6000000000000001,0.125,0.6666666666666666,1.0,1.0,,
8044,8044 Hästsjukhuset Stav,0.8695652173913043,0.8823529411764706,0.9666666666666667,0.8695652173913043,0.45833333333333326,0.7727272727272727,0.8888888888888888,0.64,0.7272727272727273,0.7826086956521738,0.7586206896551724,0.6190476190476191,0.5,0.8636363636363636,0.8095238095238095,0.6,0.8,0.625,0.9285714285714286,0.4615384615384615,0.8571428571428572,0.8181818181818181,0.6818181818181819,-1.0
8045,8045 Specialisthästsjukhuset Strömsholm,0.625,0.6896551724137931,0.6428571428571428,0.8717948717948718,0.7666666666666667,0.7619047619047619,0.7777777777777778,0.9230769230769231,0.7058823529411764,0.7391304347826086,0.4666666666666666,0.125,0.6153846153846153,0.7894736842105263,0.5499999999999999,0.7619047619047619,0.75,0.7727272727272728,0.736842105263158,0.6666666666666666,1.0,0.7272727272727273,0.0,0.6666666666666666
8047,8047 Hästkliniken Gävle,1.0,0.8,-0.3333333333333333,0.6000000000000001,1.0,1.0,-1.0,0.0,0.3333333333333333,,1.0,1.0,0.6000000000000001,0.6363636363636365,0.75,0.25,1.0,0.8333333333333334,0.5,1.0,0.3333333333333333,0.7777777777777777,-1.0,1.0
8049,8049 Specialisthästsjukhuset Helsingborg,0.7272727272727273,0.6470588235294118,0.7575757575757576,0.7727272727272727,0.9411764705882353,0.7,0.5714285714285714,0.7692307692307693,0.5,0.5,0.5238095238095238,0.85,0.5384615384615384,0.826086956521739,0.6538461538461539,0.5,0.7777777777777777,0.6,0.625,0.8571428571428572,0.5833333333333334,0.5454545454545454,0.36363636363636365,-1.0
8050,8050 Evidensia Smådjurskliniken Jönköping,0.8333333333333334,0.8673469387755102,0.8705882352941177,0.8987341772151899,0.8809523809523809,0.8873239436619719,0.8953488372093024,0.9102564102564102,0.8536585365853658,0.8026315789473685,0.896551724137931,0.88,0.90625,0.8955223880597015,0.8026315789473684,0.828125,0.8181818181818182,0.8674698795180723,0.88,0.8461538461538461,0.8194444444444444,0.8333333333333334,0.8387096774193548,0.8888888888888888
8051,8051 Djursjukhuset Analysen Örebro,0.8775510204081632,0.8695652173913043,0.8478260869565217,0.8181818181818181,0.9024390243902439,0.8205128205128205,0.9024390243902439,0.9166666666666666,0.8095238095238095,0.7868852459016393,0.813953488372093,0.8928571428571428,0.92,0.8085106382978724,0.9393939393939394,0.8695652173913043,0.8709677419354839,0.8717948717948718,0.9090909090909091,0.9166666666666666,0.9,0.7441860465116279,0.5909090909090909,0.75
8052,8052 Mälarhöjdens Veterinärpraktik,0.8723404255319148,0.9705882352941176,0.8846153846153847,0.782608695652174,0.9583333333333334,0.9032258064516129,0.8709677419354839,0.967741935483871,0.8529411764705882,0.9090909090909092,0.84375,0.8717948717948718,0.8333333333333333,0.8333333333333333,0.9361702127659575,0.875,0.7741935483870968,0.8723404255319148,0.7352941176470588,0.8095238095238095,0.7058823529411765,0.8888888888888888,0.7037037037037037,0.6000000000000001
8063,8063 Kullabygden Smådjursklinik,0.9090909090909091,0.8461538461538461,0.7777777777777777,0.8181818181818181,1.0,1.0,1.0,0.6923076923076923,0.6,0.8333333333333333,1.0,0.8823529411764706,1.0,0.8421052631578947,0.7222222222222222,0.9166666666666666,1.0,0.7647058823529411,0.8333333333333334,0.7916666666666666,1.0,0.9166666666666666,0.9375,1.0
8065,8065 Veterinärhuset Södra Berget,0.6756756756756757,0.8888888888888888,0.9523809523809523,0.851063829787234,0.9772727272727273,0.9032258064516129,0.8648648648648649,0.8875,0.8,0.9047619047619047,0.821917808219178,0.8636363636363636,0.8333333333333334,0.7727272727272727,0.8148148148148149,0.7246376811594203,0.8823529411764706,0.8648648648648649,1.0,,0.736842105263158,0.78125,0.9285714285714286,1.0
8066,8066 Veterinärkliniken Malmö Evidensia,0.8076923076923077,0.8108108108108107,0.8571428571428571,0.7948717948717949,0.85,0.7741935483870968,0.8333333333333333,0.8461538461538461,0.9032258064516129,0.88,0.88,0.763157894736842,0.88,0.9130434782608695,0.96875,0.8095238095238095,0.7083333333333334,1.0,0.9,0.78125,0.8888888888888888,0.8333333333333334,0.76,0.8125
8067,8067 Veterinärkliniken Limhamn Evidensia,0.7941176470588235,0.8387096774193548,0.8214285714285715,1.0,0.7000000000000001,0.7999999999999999,0.9523809523809523,1.0,0.8214285714285714,0.9166666666666666,0.9333333333333333,1.0,0.9166666666666666,0.9230769230769231,0.9411764705882353,0.9032258064516129,0.9130434782608696,0.8285714285714285,0.9473684210526315,0.823529411764706,0.8947368421052632,0.8604651162790697,0.8717948717948718,1.0
8068,8068 Djurklinikerna i Visby AB - Visby,0.8666666666666667,0.5,-0.3333333333333333,1.0,0.75,0.9090909090909091,0.6363636363636364,0.7777777777777777,0.8181818181818182,0.5714285714285714,0.6000000000000001,0.6923076923076923,1.0,1.0,0.8,1.0,1.0,0.875,1.0,0.7142857142857142,0.5,0.5,0.3333333333333333,1.0
8072,8072 Veterinärhuset Lidköping,0.9047619047619047,0.7999999999999999,0.88,0.896551724137931,1.0,0.8709677419354839,0.75,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.8421052631578947,0.8125,0.8620689655172413,0.8,0.918918918918919,0.8620689655172413,0.9583333333333334,0.8666666666666667,0.5294117647058824,0.84375,0.8857142857142857,0.8947368421052632,0.8064516129032258,1.0
8073,8073 Ugglarps Gård (Equine),0.5,0.7777777777777778,1.0,0.75,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.7142857142857142,0.0,1.0,1.0,0.6000000000000001,1.0,0.3333333333333333
8075,8075 On-line Vet,0.896797153024911,0.8765743073047858,0.8999999999999999,0.8629283489096573,0.8929889298892989,0.8456375838926175,0.8669064748201438,0.8940298507462686,0.8912319644839067,0.9033333333333333,0.8983799705449189,0.8634361233480176,0.8755622188905547,0.8862275449101796,0.8665105386416861,0.8677884615384616,0.8888888888888888,0.8609625668449198,0.8982558139534883,0.8923267326732673,0.8906426155580609,0.8817663817663818,0.8937908496732025,0.8907563025210083
8078,8078 Kullabygden Smådjursklinik,1.0,0.8,0.75,1.0,0.6666666666666666,1.0,0.25,1.0,1.0,0.8,0.875,,0.6000000000000001,0.9,1.0,1.0,0.7777777777777778,1.0,1.0,0.75,1.0,1.0,1.0,
8080,8080 Lunds Djursjukhus AB,0.8602150537634409,0.8387096774193549,0.8461538461538461,0.7634408602150538,0.8714285714285714,0.8082191780821917,0.6944444444444444,0.7352941176470588,0.768421052631579,0.7894736842105263,0.8227848101265823,0.6933333333333332,0.8854166666666666,0.6707317073170732,0.7978723404255319,0.8923076923076922,0.6290322580645161,0.7857142857142857,0.7428571428571429,0.8205128205128205,0.6753246753246753,0.7058823529411765,0.7636363636363636,0.7272727272727273
8081,8081 Kristinehamn Smadjursklinik,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
8082,8082 Ulvsby Smådjursklinik AB,0.9249999999999999,1.0,0.9090909090909091,0.9310344827586207,0.8571428571428572,1.0,0.9666666666666667,0.9736842105263158,0.9473684210526315,1.0,0.6923076923076923,1.0,0.9130434782608695,0.6842105263157894,0.8125,1.0,0.9285714285714286,0.7083333333333334,0.8421052631578947,0.8421052631578947,0.9333333333333333,1.0,0.9333333333333333,0.8333333333333334
8084,8084 Lidingö,0.75,0.7999999999999999,0.8947368421052632,0.5833333333333333,0.5,0.8571428571428572,0.8823529411764706,0.6774193548387097,0.7894736842105263,0.861111111111111,0.7222222222222223,0.9565217391304348,0.7307692307692308,0.8604651162790697,0.8928571428571429,0.8260869565217391,0.6818181818181818,1.0,0.8518518518518519,0.6785714285714286,0.8214285714285714,0.7272727272727273,0.6666666666666667,1.0
8086,8086 Vasastans Veterinärklinik,0.8823529411764706,0.7254901960784313,0.6578947368421053,0.9090909090909091,0.8,0.6136363636363636,0.8421052631578947,0.8571428571428571,0.7380952380952381,0.8409090909090908,0.9,0.7843137254901962,0.6666666666666667,0.8125,0.85,0.7857142857142858,0.7567567567567568,0.6,0.825,0.8478260869565217,0.8604651162790697,0.9069767441860466,0.8285714285714285,0.2142857142857143
8088,8088 Uppsala,,,,1.0,0.88,0.9078947368421053,0.896551724137931,0.896551724137931,0.9012345679012346,0.8712871287128713,0.9466666666666667,0.8260869565217391,0.7592592592592593,0.9696969696969697,0.9333333333333333,0.7619047619047619,0.9375,0.8488372093023256,0.8591549295774649,0.8085106382978724,0.8701298701298701,0.8941176470588236,0.9607843137254901,0.7727272727272727
